years,notifications,births,bgmort0to4,bgmort5to14,bgmort15to44,bgmort45,mig0to4chronic,mig0to4cleared,mig0to4sus,mig5to14chronic,mig5to14cleared,mig5to14sus,mig15to44chronic,mig15to44cleared,mig15to44sus,mig45chronic,mig45cleared,mig45sus
2000,7191,249636,0.001238,0.000129,0.000874333,0.017653411,567,4030,6140,851,6044,9210,3686,26192,39911,567,4030,6140
2001,7530,246394,0.00122425,0.0001265,0.000856333,0.017437011,502,3561,4827,753,5341,7241,3265,23144,31376,502,3561,4827
2002,6438,250988,0.0012105,0.000124,0.000838333,0.017220611,527,3734,5130,790,5601,7696,3424,24272,33348,527,3734,5130
2003,5706,251161,0.00119675,0.0001215,0.000820333,0.017004211,614,4360,6184,922,6540,9276,3993,28342,40198,614,4360,6184
2004,5742,254246,0.001183,0.0001185,0.0008015,0.016570754,678,4809,6856,1016,7213,10284,4405,31258,44563,678,4809,6856
2005,6181,254100,0.001183,0.0001185,0.0008015,0.016370754,692,4903,6785,1038,7354,10178,4496,31869,44105,692,4903,6785
2006,6099,254532,0.001183,0.0001185,0.0008015,0.016170754,825,5843,8012,1237,8765,12018,5362,37980,52077,825,5843,8012
2007,6700,254781,0.001183,0.0001185,0.0008015,0.015970754,1319,9335,12626,1978,14002,18940,8573,60675,82072,1319,9335,12626
2008,6377,255029,0.001183,0.0001185,0.0008015,0.015770754,1608,11367,14756,2411,17050,22133,10449,73885,95911,1608,11367,14756
2009,7127,255278,0.001183,0.0001185,0.0008015,0.015570754,1781,12585,15624,2672,18877,23436,11577,81801,101557,1781,12585,15624
2010,6956,255526,0.001183,0.0001185,0.0008015,0.015370754,1103,7813,10694,1654,11720,16042,7166,50785,69514,1103,7813,10694
2011,6559,255775,0.001183,0.0001185,0.0008015,0.015170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2012,6517,256410,0.001183,0.0001185,0.0008015,0.014970754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2013,7027,257045,0.001183,0.0001185,0.0008015,0.014770754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2014,0,257680,0.001183,0.0001185,0.0008015,0.014570754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2015,0,258315,0.001183,0.0001185,0.0008015,0.014370754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2016,0,258950,0.001183,0.0001185,0.0008015,0.014170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2017,0,259878,0.001183,0.0001185,0.0008015,0.014170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2018,0,260806,0.001183,0.0001185,0.0008015,0.014170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2019,0,263589,0.001183,0.0001185,0.0008015,0.014170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2020,0,261733,0.001183,0.0001185,0.0008015,0.014170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2021,0,263589,0.001183,0.0001185,0.0008015,0.014370754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2022,0,264406,0.001183,0.0001185,0.0008015,0.014570754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2023,0,265223,0.001183,0.0001185,0.0008015,0.014770754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2024,0,266040,0.001183,0.0001185,0.0008015,0.014970754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2025,0,266857,0.001183,0.0001185,0.0008015,0.015170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2026,0,267674,0.001183,0.0001185,0.0008015,0.015370754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2027,0,267868,0.001183,0.0001185,0.0008015,0.015570754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2028,0,268061,0.001183,0.0001185,0.0008015,0.015770754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2029,0,268255,0.001183,0.0001185,0.0008015,0.015970754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2030,0,268448,0.001183,0.0001185,0.0008015,0.016170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2031,0,268642,0.001183,0.0001185,0.0008015,0.016370754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2032,0,268584,0.001183,0.0001185,0.0008015,0.016570754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2033,0,268527,0.001183,0.0001185,0.0008015,0.016770754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2034,0,268469,0.001183,0.0001185,0.0008015,0.016970754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2035,0,268412,0.001183,0.0001185,0.0008015,0.017170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2036,0,268354,0.001183,0.0001185,0.0008015,0.017370754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2037,0,268647,0.001183,0.0001185,0.0008015,0.017570754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2038,0,268941,0.001183,0.0001185,0.0008015,0.017770754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2039,0,269528,0.001183,0.0001185,0.0008015,0.017970754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2040,0,269528,0.001183,0.0001185,0.0008015,0.018170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2041,0,269821,0.001183,0.0001185,0.0008015,0.018370754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2042,0,270347,0.001183,0.0001185,0.0008015,0.018570754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2043,0,270873,0.001183,0.0001185,0.0008015,0.018770754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2044,0,271399,0.001183,0.0001185,0.0008015,0.018970754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2045,0,271925,0.001183,0.0001185,0.0008015,0.019170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2046,0,272451,0.001183,0.0001185,0.0008015,0.019370754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2047,0,273023,0.001183,0.0001185,0.0008015,0.019570754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2048,0,273596,0.001183,0.0001185,0.0008015,0.019770754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2049,0,274168,0.001183,0.0001185,0.0008015,0.019970754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2050,0,274741,0.001183,0.0001185,0.0008015,0.020170754,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
