1951,1684
1952,1684
1953,1684
1954,1684
1955,1956
1956,1956
1957,1956
1958,1956
1959,1956
1960,2084
1961,2084
1962,2084
1963,2084
1964,2084
1965,2275
1966,2275
1967,2275
1968,2275
1969,2275
1970,1919
1971,1919
1972,1919
1973,1919
1974,1919
1975,1163
1976,1755
1977,1902
1978,2049
1979,2402
1980,2833
1981,3086
1982,2605
1983,2350
1984,2654
1985,2976
1986,3725
1987,4708
1988,4780
1989,4354
1990,4807
1991,4272
1992,2877
1993,2529
1994,3072
1995,3661
1996,3071
1997,2596
1998,2842
1999,3047
2000,3686
2001,3265
2002,3424
2003,3993
2004,4405
2005,4496
2006,5362
2007,8573
2008,10449
2009,11577
2010,7166
2011,3879
2012,3879
2013,3879
2014,3879
2015,3879
2016,3879
2017,3879
2018,3879
2019,3879
2020,3879
2021,3879
2022,3879
2023,3879
2024,3879
2025,3879
2026,3879
2027,3879
2028,3879
2029,3879
2030,3879
2031,3879
2032,3879
2033,3879
2034,3879
2035,3879
2036,3879
2037,3879
2038,3879
2039,3879
2040,3879
2041,3879
2042,3879
2043,3879
2044,3879
2045,3879
2046,3879
2047,3879
2048,3879
2049,3879
2050,3879
