1951,2927
1952,2927
1953,2927
1954,2927
1955,3323
1956,3323
1957,3323
1958,3323
1959,3323
1960,3545
1961,3545
1962,3545
1963,3545
1964,3545
1965,3898
1966,3898
1967,3898
1968,3898
1969,3898
1970,3272
1971,3272
1972,3272
1973,3272
1974,3272
1975,1944
1976,2909
1977,3160
1978,3381
1979,3968
1980,4714
1981,5127
1982,4314
1983,3856
1984,4353
1985,4894
1986,6121
1987,7737
1988,7859
1989,7134
1990,7848
1991,6966
1992,4697
1993,4135
1994,5025
1995,5982
1996,5027
1997,4260
1998,4665
1999,5005
2000,6044
2001,5341
2002,5601
2003,6540
2004,7213
2005,7354
2006,8765
2007,14002
2008,17050
2009,18877
2010,11720
2011,6353
2012,6353
2013,6353
2014,6353
2015,6353
2016,6353
2017,6353
2018,6353
2019,6353
2020,6353
2021,6353
2022,6353
2023,6353
2024,6353
2025,6353
2026,6353
2027,6353
2028,6353
2029,6353
2030,6353
2031,6353
2032,6353
2033,6353
2034,6353
2035,6353
2036,6353
2037,6353
2038,6353
2039,6353
2040,6353
2041,6353
2042,6353
2043,6353
2044,6353
2045,6353
2046,6353
2047,6353
2048,6353
2049,6353
2050,6353
