Year,bgmort0to4,bgmort5to14,bgmort15to44,bgmort45,births,mig0to4chronic,mig0to4cleared,mig0to4sus,mig5to14chronic,mig5to14cleared,mig5to14sus,mig15to44chronic,mig15to44cleared,mig15to44sus,mig45chronic,mig45cleared,mig45sus
1994,0.001452,0.0001624,0.000973467,0.019847481,258051,473,3350,4920,709,5025,7380,3072,21776,31980,473,3350,4920
1995,0.001377,0.0001595,0.0009665,0.019516426,256190,563,3988,5363,845,5982,8044,3661,25922,34858,563,3988,5363
1996,0.0013492,0.0001533,0.0009479,0.019143826,253834,472,3351,4751,709,5027,7127,3071,21783,30884,472,3351,4751
1997,0.0013214,0.0001471,0.0009293,0.018771226,251842,399,2840,4494,599,4260,6741,2596,18458,29209,399,2840,4494
1998,0.0012936,0.0001409,0.0009107,0.018398626,249616,437,3110,4867,656,4665,7300,2842,20216,31634,437,3110,4867
1999,0.0012658,0.0001347,0.0008921,0.018026026,248870,469,3337,5422,703,5005,8133,3047,21688,35242,469,3337,5422
2000,0.001238,0.000129,0.000874333,0.017653411,249636,567,4030,6140,851,6044,9210,3686,26192,39911,567,4030,6140
2001,0.00122425,0.0001265,0.000856333,0.017437011,246394,502,3561,4827,753,5341,7241,3265,23144,31376,502,3561,4827
2002,0.0012105,0.000124,0.000838333,0.017220611,250988,527,3734,5130,790,5601,7696,3424,24272,33348,527,3734,5130
2003,0.00119675,0.0001215,0.000820333,0.017004211,251161,614,4360,6184,922,6540,9276,3993,28342,40198,614,4360,6184
2004,0.001183,0.0001185,0.0008015,0.016570754,254246,678,4809,6856,1016,7213,10284,4405,31258,44563,678,4809,6856
2005,0.001183,0.0001185,0.0008015,0.016370754,254100,692,4903,6785,1038,7354,10178,4496,31869,44105,692,4903,6785
2006,0.001183,0.0001185,0.0008015,0.016170754,254532,825,5843,8012,1237,8765,12018,5362,37980,52077,825,5843,8012
2007,0.001183,0.0001185,0.0008015,0.015970754,254781,1319,9335,12626,1978,14002,18940,8573,60675,82072,1319,9335,12626
2008,0.001183,0.0001185,0.0008015,0.015770754,255029,1608,11367,14756,2411,17050,22133,10449,73885,95911,1608,11367,14756
2009,0.001183,0.0001185,0.0008015,0.015570754,255278,1781,12585,15624,2672,18877,23436,11577,81801,101557,1781,12585,15624
2010,0.001183,0.0001185,0.0008015,0.015370754,255526,1103,7813,10694,1654,11720,16042,7166,50785,69514,1103,7813,10694
2011,0.001183,0.0001185,0.0008015,0.015170754,255775,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2012,0.001183,0.0001185,0.0008015,0.014970754,256410,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2013,0.001183,0.0001185,0.0008015,0.014770754,257045,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2014,0.001183,0.0001185,0.0008015,0.014570754,257680,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2015,0.001183,0.0001185,0.0008015,0.014370754,258315,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2016,0.001183,0.0001185,0.0008015,0.014170754,258950,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2017,0.001183,0.0001185,0.0008015,0.014170754,259878,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2018,0.001183,0.0001185,0.0008015,0.014170754,260806,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
